id,category,local_path,source_id,source_revision,source_path,format,duration_ms,channels,sample_rate,loudness_dbfs,peak_amplitude,clipping,size_bytes,sha256,license_status,runtime_enabled,decision,notes
pokemon:1:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/1.ogg,ogg,,,,,,not-measured,13733,,doubtful,false,,Reference only; binary not downloaded.
pokemon:1:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/1.ogg,ogg,,,,,,not-measured,5813,,doubtful,false,,Reference only; binary not downloaded.
pokemon:2:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/2.ogg,ogg,,,,,,not-measured,12325,,doubtful,false,,Reference only; binary not downloaded.
pokemon:2:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/2.ogg,ogg,,,,,,not-measured,5836,,doubtful,false,,Reference only; binary not downloaded.
pokemon:3:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/3.ogg,ogg,,,,,,not-measured,13965,,doubtful,false,,Reference only; binary not downloaded.
pokemon:3:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/3.ogg,ogg,,,,,,not-measured,6529,,doubtful,false,,Reference only; binary not downloaded.
pokemon:4:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/4.ogg,ogg,,,,,,not-measured,11257,,doubtful,false,,Reference only; binary not downloaded.
pokemon:4:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/4.ogg,ogg,,,,,,not-measured,5588,,doubtful,false,,Reference only; binary not downloaded.
pokemon:5:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/5.ogg,ogg,,,,,,not-measured,13019,,doubtful,false,,Reference only; binary not downloaded.
pokemon:5:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/5.ogg,ogg,,,,,,not-measured,5485,,doubtful,false,,Reference only; binary not downloaded.
pokemon:6:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/6.ogg,ogg,,,,,,not-measured,13071,,doubtful,false,,Reference only; binary not downloaded.
pokemon:6:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/6.ogg,ogg,,,,,,not-measured,6359,,doubtful,false,,Reference only; binary not downloaded.
pokemon:7:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/7.ogg,ogg,,,,,,not-measured,12204,,doubtful,false,,Reference only; binary not downloaded.
pokemon:7:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/7.ogg,ogg,,,,,,not-measured,5601,,doubtful,false,,Reference only; binary not downloaded.
pokemon:8:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/8.ogg,ogg,,,,,,not-measured,13792,,doubtful,false,,Reference only; binary not downloaded.
pokemon:8:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/8.ogg,ogg,,,,,,not-measured,6054,,doubtful,false,,Reference only; binary not downloaded.
pokemon:9:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/9.ogg,ogg,,,,,,not-measured,14039,,doubtful,false,,Reference only; binary not downloaded.
pokemon:9:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/9.ogg,ogg,,,,,,not-measured,6327,,doubtful,false,,Reference only; binary not downloaded.
pokemon:10:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/10.ogg,ogg,,,,,,not-measured,9944,,doubtful,false,,Reference only; binary not downloaded.
pokemon:10:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/10.ogg,ogg,,,,,,not-measured,4220,,doubtful,false,,Reference only; binary not downloaded.
pokemon:11:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/11.ogg,ogg,,,,,,not-measured,15843,,doubtful,false,,Reference only; binary not downloaded.
pokemon:11:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/11.ogg,ogg,,,,,,not-measured,7349,,doubtful,false,,Reference only; binary not downloaded.
pokemon:12:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/12.ogg,ogg,,,,,,not-measured,12316,,doubtful,false,,Reference only; binary not downloaded.
pokemon:12:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/12.ogg,ogg,,,,,,not-measured,4437,,doubtful,false,,Reference only; binary not downloaded.
pokemon:13:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/13.ogg,ogg,,,,,,not-measured,12870,,doubtful,false,,Reference only; binary not downloaded.
pokemon:13:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/13.ogg,ogg,,,,,,not-measured,5909,,doubtful,false,,Reference only; binary not downloaded.
pokemon:14:cry:latest,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/latest/14.ogg,ogg,,,,,,not-measured,13610,,doubtful,false,,Reference only; binary not downloaded.
pokemon:14:cry:legacy,cry-reference,,pokeapi-cries,7ba07038103b3482973fa781e25c09debbaaedd8,cries/pokemon/legacy/14.ogg,ogg,,,,,,not-measured,6164,,doubtful,false,,Reference only; binary not downloaded.
