id,category,species_id,pokemon_id,form_id,variant,orientation,shiny,animated,format,width,height,frame_count,size_bytes,sha256,source_id,source_revision,source_path,local_path,license_status,compatibility_score,compatibility_class,runtime_enabled,replacement_required
pokemon:0001-bulbasaur:battle-sprite:front-normal,battle-sprite,1,1,,front-normal,front,false,false,png,96,96,1,543,7307265558511ea080add119ab7e86b9f87aaab4cedef76df2a13290ca5ad8c9,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/1.png,content/packs/pokemon-canonical/creatures/0001-bulbasaur/sprites/0001-bulbasaur--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0001-bulbasaur:battle-sprite:back-normal,battle-sprite,1,1,,back-normal,back,false,false,png,96,96,1,423,d7070e94a8857a86072d87137f985555dd810cf415f87493aa71f7006e19e345,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/1.png,content/packs/pokemon-canonical/creatures/0001-bulbasaur/sprites/0001-bulbasaur--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0001-bulbasaur:battle-sprite:back-shiny,battle-sprite,1,1,,back-shiny,back,true,false,png,96,96,1,426,b852585a6bcabe80013bbbf93d8cdda71287c814e93066dfd62b389ded70ddb0,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/1.png,content/packs/pokemon-canonical/creatures/0001-bulbasaur/sprites/0001-bulbasaur--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0001-bulbasaur:battle-sprite:front-shiny,battle-sprite,1,1,,front-shiny,front,true,false,png,96,96,1,545,e17af2fb7820267fdb53e29eceedbcad49a25c53cc29eaf2b0dd2bf02134ae6a,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/1.png,content/packs/pokemon-canonical/creatures/0001-bulbasaur/sprites/0001-bulbasaur--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0002-ivysaur:battle-sprite:front-normal,battle-sprite,2,2,,front-normal,front,false,false,png,96,96,1,870,0d73b98081fcaa3fe22524d47573da3391a24465dc31c92c4ce2f1c00d14908e,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/2.png,content/packs/pokemon-canonical/creatures/0002-ivysaur/sprites/0002-ivysaur--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0002-ivysaur:battle-sprite:back-normal,battle-sprite,2,2,,back-normal,back,false,false,png,96,96,1,757,d5f3dd721ebae28ec052004cf4dd92a3b48d3b7ffb383c7804dbb43fd5b242cd,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/2.png,content/packs/pokemon-canonical/creatures/0002-ivysaur/sprites/0002-ivysaur--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0002-ivysaur:battle-sprite:back-shiny,battle-sprite,2,2,,back-shiny,back,true,false,png,96,96,1,758,27add71cee2bc25d19a951de1feeeda35d9ff918aada8a3ffa4c223f77c43ae7,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/2.png,content/packs/pokemon-canonical/creatures/0002-ivysaur/sprites/0002-ivysaur--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0002-ivysaur:battle-sprite:front-shiny,battle-sprite,2,2,,front-shiny,front,true,false,png,96,96,1,871,5b886cf6969cce1a560ad3ead180f847ea05360cfb7e3aae706f8bd0b613d04a,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/2.png,content/packs/pokemon-canonical/creatures/0002-ivysaur/sprites/0002-ivysaur--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0003-venusaur:battle-sprite:front-normal,battle-sprite,3,3,,front-normal,front,false,false,png,96,96,1,1531,f3ed13e1666f67ccf6aef1453d4a3fb0ceb6b6c5769c56f9e46ec4ac021542af,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/3.png,content/packs/pokemon-canonical/creatures/0003-venusaur/sprites/0003-venusaur--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0003-venusaur:battle-sprite:back-normal,battle-sprite,3,3,,back-normal,back,false,false,png,96,96,1,1325,bab30bfbe63fe21a6ddfb9541242e98408c57c7659f9a6ce7221ebdd6eeaec16,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/3.png,content/packs/pokemon-canonical/creatures/0003-venusaur/sprites/0003-venusaur--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
